file,isDog,howl,bark,
dog_barking_33.audio_split0.wav,1,1,0,
dog_barking_33.audio_split1.wav,1,0,1,
dog_barking_86.audio_split0.wav,1,0,1,
dog_barking_45.audio_split0.wav,1,1,0,
dog_barking_76.audio_split0.wav,1,0,1,
dog_barking_76.audio_split1.wav,1,1,1,
dog_barking_4.audio_split0.wav,1,0,1,
dog_barking_4.audio_split1.wav,1,0,1,
dog_barking_6.audio_split0.wav,0,0,0,
dog_barking_6.audio_split1.wav,1,0,1,
dog_barking_6.audio_split2.wav,1,0,1,
dog_barking_6.audio_split3.wav,1,0,1,
dog_barking_6.audio_split4.wav,1,0,1,
dog_barking_6.audio_split5.wav,1,0,1,
dog_barking_6.audio_split6.wav,1,0,1,
dog_barking_6.audio_split7.wav,1,0,1,
dog_barking_55.audio_split0.wav,1,1,0,
dog_barking_58.audio_split0.wav,1,1,0,
dog_barking_95.audio_split0.wav,1,0,1,
dog_barking_95.audio_split1.wav,1,0,1,
dog_barking_95.audio_split2.wav,1,0,1,
dog_barking_74.audio_split0.wav,1,1,1,
dog_barking_72.audio_split0.wav,1,1,1,
dog_barking_20.audio_split0.wav,1,1,0,
dog_barking_20.audio_split1.wav,1,0,1,
dog_barking_20.audio_split2.wav,1,0,1,
dog_barking_20.audio_split3.wav,1,0,1,
dog_barking_20.audio_split4.wav,1,0,1,
dog_barking_20.audio_split5.wav,1,0,1,
dog_barking_99.audio_split0.wav,1,0,1,
dog_barking_99.audio_split1.wav,1,0,1,
dog_barking_99.audio_split2.wav,1,0,1,
dog_barking_99.audio_split3.wav,1,0,1,
dog_barking_99.audio_split4.wav,1,0,1,
dog_barking_99.audio_split5.wav,1,0,1,
dog_barking_99.audio_split6.wav,1,0,1,
dog_barking_99.audio_split7.wav,1,0,1,
dog_barking_99.audio_split8.wav,1,0,1,
dog_barking_37.audio_split0.wav,1,1,0,
dog_barking_89.audio_split0.wav,1,0,1,
dog_barking_105.audio_split0.wav,1,0,1,
dog_barking_105.audio_split1.wav,1,0,1,
dog_barking_105.audio_split2.wav,1,0,1,
dog_barking_53.audio_split0.wav,1,1,0,
dog_barking_2.audio_split0.wav,1,0,1,
dog_barking_2.audio_split1.wav,1,0,1,
dog_barking_2.audio_split2.wav,1,0,1,
dog_barking_2.audio_split3.wav,1,0,1,
dog_barking_2.audio_split4.wav,1,0,1,
dog_barking_2.audio_split5.wav,1,0,1,
dog_barking_2.audio_split6.wav,1,0,1,
dog_barking_2.audio_split7.wav,1,0,1,
dog_barking_2.audio_split8.wav,1,0,1,
dog_barking_2.audio_split9.wav,1,0,1,
dog_barking_2.audio_split10.wav,1,0,1,
dog_barking_2.audio_split11.wav,1,0,1,
dog_barking_7.audio_split0.wav,1,0,1,
dog_barking_7.audio_split1.wav,1,0,1,
dog_barking_7.audio_split2.wav,1,0,1,
dog_barking_7.audio_split3.wav,1,0,1,
dog_barking_80.audio_split0.wav,1,1,0,
dog_barking_75.audio_split0.wav,1,1,1,
dog_barking_59.audio_split0.wav,1,1,0,
dog_barking_25.audio_split0.wav,0,0,0,
dog_barking_25.audio_split1.wav,0,0,0,
